"","mclust cluster"
"1",5
"2",1
"3",6
"4",5
"5",3
"6",3
"7",4
"8",5
"9",0
"10",1
"11",6
"12",2
"13",5
"14",5
"15",3
"16",5
"17",3
"18",5
"19",0
"20",3
"21",4
"22",1
"23",5
"24",5
"25",2
"26",6
"27",3
"28",3
"29",3
"30",5
"31",5
"32",4
"33",5
"34",5
"35",5
"36",2
"37",2
"38",0
"39",3
"40",5
"41",5
"42",2
"43",4
"44",5
"45",0
"46",5
"47",5
"48",4
"49",3
"50",5
"51",3
"52",5
"53",5
"54",6
"55",1
"56",5
"57",4
"58",5
"59",6
"60",5
"61",5
"62",5
"63",3
"64",1
"65",6
"66",5
"67",5
"68",0
"69",5
"70",5
"71",6
"72",1
"73",3
"74",5
"75",5
"76",6
"77",5
"78",5
"79",4
"80",4
"81",0
"82",5
"83",5
"84",3
"85",2
"86",2
"87",0
"88",5
"89",3
"90",5
"91",6
"92",3
"93",5
"94",5
"95",0
"96",3
"97",5
"98",2
"99",2
"100",6
"101",4
"102",5
"103",5
"104",5
"105",3
"106",0
"107",1
"108",1
"109",1
"110",5
"111",5
"112",1
"113",1
"114",5
"115",6
"116",5
"117",5
"118",5
"119",0
"120",5
"121",5
"122",1
"123",1
"124",5
"125",5
"126",6
"127",3
"128",1
"129",5
"130",3
"131",5
"132",3
"133",3
"134",5
"135",0
"136",6
"137",5
"138",3
"139",3
"140",0
"141",6
"142",5
"143",5
"144",4
"145",3
"146",5
"147",5
"148",5
"149",5
"150",2
"151",5
"152",0
"153",5
"154",3
"155",6
"156",5
"157",6
"158",5
"159",5
"160",5
"161",2
"162",5
"163",2
"164",3
"165",4
"166",1
"167",5
"168",4
"169",4
"170",5
"171",2
"172",0
"173",6
"174",5
"175",5
"176",5
"177",3
"178",6
"179",5
"180",5
"181",6
"182",5
"183",6
"184",5
"185",0
"186",3
"187",1
"188",0
"189",5
"190",5
"191",1
"192",5
"193",5
"194",1
"195",3
"196",0
"197",5
"198",5
"199",5
"200",4
"201",0
"202",1
"203",5
"204",4
"205",5
"206",4
"207",3
"208",5
"209",1
"210",2
"211",2
"212",5
"213",2
"214",5
"215",5
"216",4
"217",4
"218",6
"219",4
"220",3
"221",4
"222",1
"223",3
"224",5
"225",6
"226",3
"227",5
"228",3
"229",5
"230",0
"231",6
"232",2
"233",2
"234",6
"235",0
"236",5
"237",5
"238",5
"239",5
"240",3
"241",5
"242",5
"243",3
"244",5
"245",2
"246",3
"247",3
"248",3
"249",5
"250",4
"251",5
"252",5
"253",5
"254",5
"255",5
"256",6
"257",1
"258",5
"259",2
"260",6
"261",5
"262",5
"263",3
"264",5
"265",5
"266",0
"267",0
"268",4
"269",5
"270",6
"271",5
"272",5
"273",2
"274",5
"275",5
"276",4
"277",3
"278",4
"279",5
"280",5
"281",3
"282",5
"283",1
"284",1
"285",3
"286",5
"287",5
"288",2
"289",1
"290",3
"291",0
"292",0
"293",5
"294",6
"295",5
"296",5
"297",5
"298",3
"299",2
"300",5
"301",1
"302",5
"303",5
"304",0
"305",5
"306",4
"307",3
"308",3
"309",5
"310",5
"311",3
"312",5
"313",4
"314",3
"315",2
"316",3
"317",3
"318",1
"319",6
"320",5
"321",5
"322",5
"323",5
"324",6
"325",5
"326",5
"327",5
"328",5
"329",2
"330",5
"331",6
"332",5
"333",6
"334",4
"335",5
"336",4
"337",5
"338",0
"339",4
"340",0
"341",5
"342",4
"343",3
"344",5
"345",5
"346",6
"347",1
"348",5
"349",4
"350",6
"351",2
"352",5
"353",5
"354",2
"355",1
"356",2
"357",4
"358",0
"359",5
"360",1
"361",5
"362",5
"363",3
"364",3
"365",3
"366",3
"367",5
"368",5
"369",5
"370",5
"371",5
"372",0
"373",5
"374",1
"375",4
