"","mclust cluster"
"1",1
"2",3
"3",5
"4",1
"5",6
"6",6
"7",6
"8",1
"9",2
"10",3
"11",5
"12",4
"13",6
"14",1
"15",6
"16",1
"17",6
"18",6
"19",2
"20",4
"21",5
"22",3
"23",0
"24",0
"25",0
"26",5
"27",6
"28",6
"29",6
"30",0
"31",0
"32",5
"33",0
"34",6
"35",0
"36",1
"37",1
"38",2
"39",4
"40",1
"41",6
"42",2
"43",6
"44",1
"45",2
"46",0
"47",0
"48",6
"49",6
"50",0
"51",6
"52",0
"53",0
"54",5
"55",3
"56",1
"57",5
"58",6
"59",5
"60",6
"61",0
"62",0
"63",6
"64",3
"65",5
"66",0
"67",6
"68",2
"69",0
"70",0
"71",5
"72",3
"73",6
"74",6
"75",0
"76",5
"77",0
"78",0
"79",5
"80",5
"81",1
"82",0
"83",1
"84",6
"85",1
"86",0
"87",1
"88",4
"89",6
"90",0
"91",5
"92",6
"93",0
"94",6
"95",1
"96",6
"97",6
"98",1
"99",1
"100",5
"101",5
"102",0
"103",6
"104",0
"105",6
"106",1
"107",3
"108",6
"109",3
"110",0
"111",1
"112",3
"113",3
"114",4
"115",5
"116",0
"117",6
"118",1
"119",1
"120",0
"121",6
"122",3
"123",0
"124",0
"125",5
"126",6
"127",3
"128",0
"129",6
"130",6
"131",6
"132",6
"133",6
"134",2
"135",5
"136",4
"137",6
"138",6
"139",1
"140",5
"141",6
"142",1
"143",5
"144",6
"145",6
"146",6
"147",0
"148",6
"149",1
"150",4
"151",1
"152",6
"153",6
"154",5
"155",0
"156",5
"157",6
"158",0
"159",0
"160",0
"161",6
"162",1
"163",6
"164",6
"165",3
"166",1
"167",5
"168",5
"169",4
"170",1
"171",2
"172",5
"173",1
"174",6
"175",6
"176",5
"177",0
"178",0
"179",5
"180",5
"181",4
"182",2
"183",6
"184",3
"185",1
"186",0
"187",6
"188",3
"189",1
"190",0
"191",3
"192",6
"193",1
"194",0
"195",0
"196",5
"197",2
"198",3
"199",6
"200",5
"201",1
"202",6
"203",6
"204",6
"205",3
"206",1
"207",2
"208",6
"209",1
"210",0
"211",0
"212",5
"213",5
"214",5
"215",6
"216",6
"217",3
"218",3
"219",6
"220",6
"221",5
"222",6
"223",6
"224",6
"225",6
"226",1
"227",5
"228",1
